arm,domain,trace,regime,concurrency,output_tok_s,speedup_vs_baseline,saturation_concurrency,saturation_output_tok_s,saturation_speedup_vs_baseline
EAGLE3,code,swebench,2K,200,1198.8375022770738,0.5409960079726948,283,1208.785355118687,
EAGLE3,code,swebench,2K,283,1208.785355118687,,283,1208.785355118687,
EAGLE3,summarization-short,cnn_short,2K,1,108.81059984682805,1.108687980059794,283,566.5335098156445,
EAGLE3,summarization-short,cnn_short,2K,5,312.17901153455773,0.9660993530006119,283,566.5335098156445,
EAGLE3,summarization-short,cnn_short,2K,25,520.9947436781666,0.8568969250628958,283,566.5335098156445,
EAGLE3,summarization-short,cnn_short,2K,50,552.019709722644,0.8164022284682131,283,566.5335098156445,
EAGLE3,summarization-short,cnn_short,2K,100,559.8968171054762,0.7771561777336287,283,566.5335098156445,
EAGLE3,summarization-short,cnn_short,2K,200,565.170853924884,0.7672945741923863,283,566.5335098156445,
EAGLE3,summarization-short,cnn_short,2K,283,566.5335098156445,,283,566.5335098156445,
EAGLE3,summarization-long,cnn_long,2K,1,113.8432415710444,1.0603201773039386,283,1204.1177048527377,
EAGLE3,summarization-long,cnn_long,2K,5,433.89601837917075,0.9620572509477184,283,1204.1177048527377,
EAGLE3,summarization-long,cnn_long,2K,25,1015.543761614284,0.7647595636951505,283,1204.1177048527377,
EAGLE3,summarization-long,cnn_long,2K,50,1148.5566366330183,0.6677290690156439,283,1204.1177048527377,
EAGLE3,summarization-long,cnn_long,2K,100,1165.0330456768438,0.5702584497191173,283,1204.1177048527377,
EAGLE3,summarization-long,cnn_long,2K,200,1203.8321602642043,0.5433162228517209,283,1204.1177048527377,
EAGLE3,summarization-long,cnn_long,2K,283,1204.1177048527377,,283,1204.1177048527377,
EAGLE3,structured-JSON,edgar_json,2K,1,0.0,,283,0.0,
EAGLE3,structured-JSON,edgar_json,2K,5,0.0,,283,0.0,
EAGLE3,structured-JSON,edgar_json,2K,25,0.0,,283,0.0,
EAGLE3,structured-JSON,edgar_json,2K,50,0.0,,283,0.0,
EAGLE3,structured-JSON,edgar_json,2K,100,0.0,,283,0.0,
EAGLE3,structured-JSON,edgar_json,2K,200,0.0,,283,0.0,
EAGLE3,structured-JSON,edgar_json,2K,283,0.0,,283,0.0,
separate-draft,conversational,sharegpt,2K,1,155.24436193253726,1.4460010334520934,169,1525.191961641778,
separate-draft,conversational,sharegpt,2K,5,461.9790064125293,1.0229119080501792,169,1525.191961641778,
separate-draft,conversational,sharegpt,2K,25,1285.8052046738521,0.9673586763739024,169,1525.191961641778,
separate-draft,conversational,sharegpt,2K,50,1437.031127895592,0.8354357386795501,169,1525.191961641778,
separate-draft,conversational,sharegpt,2K,100,1498.9757328974847,0.7335987798550244,169,1525.191961641778,
separate-draft,conversational,sharegpt,2K,169,1525.191961641778,,169,1525.191961641778,
separate-draft,code,swebench,2K,1,151.3758162528118,1.4097041513988426,169,1529.8197514987955,
separate-draft,code,swebench,2K,5,546.7581225822886,1.2118883326015906,169,1529.8197514987955,
separate-draft,code,swebench,2K,25,1283.8228674359948,0.966044255361407,169,1529.8197514987955,
separate-draft,code,swebench,2K,50,1458.2758638599773,0.8470377147574184,169,1529.8197514987955,
separate-draft,code,swebench,2K,100,1496.908785404907,0.7332133181447216,169,1529.8197514987955,
separate-draft,code,swebench,2K,169,1529.8197514987955,,169,1529.8197514987955,
separate-draft,summarization-short,cnn_short,2K,1,123.90923670358953,1.2625303191512387,169,605.9307370161204,
separate-draft,summarization-short,cnn_short,2K,5,355.4727152460642,1.1000802344797516,169,605.9307370161204,
separate-draft,summarization-short,cnn_short,2K,25,559.5360429701791,0.9202870479998276,169,605.9307370161204,
separate-draft,summarization-short,cnn_short,2K,50,593.2157075939813,0.8773285031532777,169,605.9307370161204,
separate-draft,summarization-short,cnn_short,2K,100,602.7426671039105,0.8366277017702778,169,605.9307370161204,
separate-draft,summarization-short,cnn_short,2K,169,605.9307370161204,,169,605.9307370161204,
separate-draft,summarization-long,cnn_long,2K,1,153.65068177940765,1.431081159486681,169,1532.302189693155,
separate-draft,summarization-long,cnn_long,2K,5,578.1386691085777,1.2818797018393462,169,1532.302189693155,
separate-draft,summarization-long,cnn_long,2K,25,1270.724042558503,0.9569241632868989,169,1532.302189693155,
separate-draft,summarization-long,cnn_long,2K,50,1448.4815876641426,0.8420945307952741,169,1532.302189693155,
separate-draft,summarization-long,cnn_long,2K,100,1497.4409971051523,0.7329649444054445,169,1532.302189693155,
separate-draft,summarization-long,cnn_long,2K,169,1532.302189693155,,169,1532.302189693155,
separate-draft,structured-JSON,edgar_json,2K,1,0.0,,169,0.0,
separate-draft,structured-JSON,edgar_json,2K,5,0.0,,169,0.0,
separate-draft,structured-JSON,edgar_json,2K,25,0.0,,169,0.0,
separate-draft,structured-JSON,edgar_json,2K,50,0.0,,169,0.0,
separate-draft,structured-JSON,edgar_json,2K,100,0.0,,169,0.0,
separate-draft,structured-JSON,edgar_json,2K,169,0.0,,169,0.0,
baseline,conversational,sharegpt,8K,1,100.62861069838027,1.0,75,962.1877362144567,1.0
baseline,conversational,sharegpt,8K,5,364.2549445290225,1.0,75,962.1877362144567,1.0
baseline,conversational,sharegpt,8K,25,782.2460971836288,1.0,75,962.1877362144567,1.0
baseline,conversational,sharegpt,8K,50,911.2107512630513,1.0,75,962.1877362144567,1.0
baseline,conversational,sharegpt,8K,75,962.1877362144567,1.0,75,962.1877362144567,1.0
baseline,code,swebench,8K,1,100.607885410203,1.0,75,962.7469203500643,1.0
baseline,code,swebench,8K,5,363.94425919753803,1.0,75,962.7469203500643,1.0
baseline,code,swebench,8K,25,782.9649723616841,1.0,75,962.7469203500643,1.0
baseline,code,swebench,8K,50,910.5029918769947,1.0,75,962.7469203500643,1.0
baseline,code,swebench,8K,75,962.7469203500643,1.0,75,962.7469203500643,1.0
baseline,summarization-short,cnn_short,8K,1,82.85040958852818,1.0,75,311.3600589107121,1.0
baseline,summarization-short,cnn_short,8K,5,202.68525542667624,1.0,75,311.3600589107121,1.0
baseline,summarization-short,cnn_short,8K,25,291.10869487862567,1.0,75,311.3600589107121,1.0
baseline,summarization-short,cnn_short,8K,50,307.3082694457112,1.0,75,311.3600589107121,1.0
baseline,summarization-short,cnn_short,8K,75,311.3600589107121,1.0,75,311.3600589107121,1.0
baseline,summarization-long,cnn_long,8K,1,92.59714599428494,1.0,75,505.9459490786254,1.0
baseline,summarization-long,cnn_long,8K,5,270.2069118671581,1.0,75,505.9459490786254,1.0
baseline,summarization-long,cnn_long,8K,25,450.3546076607402,1.0,75,505.9459490786254,1.0
baseline,summarization-long,cnn_long,8K,50,492.6688672716151,1.0,75,505.9459490786254,1.0
baseline,summarization-long,cnn_long,8K,75,505.9459490786254,1.0,75,505.9459490786254,1.0
baseline,structured-JSON,edgar_json,8K,1,102.05927752787998,1.0,75,1115.109371895386,1.0
baseline,structured-JSON,edgar_json,8K,5,383.79298070911057,1.0,75,1115.109371895386,1.0
baseline,structured-JSON,edgar_json,8K,25,881.6860126973311,1.0,75,1115.109371895386,1.0
baseline,structured-JSON,edgar_json,8K,50,1045.2763958113521,1.0,75,1115.109371895386,1.0
baseline,structured-JSON,edgar_json,8K,75,1115.109371895386,1.0,75,1115.109371895386,1.0
n-gram,conversational,sharegpt,8K,1,121.95861729347713,1.2119676148469394,73,909.2560896094332,
n-gram,conversational,sharegpt,8K,5,335.26001179410986,0.9203993434532433,73,909.2560896094332,
n-gram,conversational,sharegpt,8K,25,787.8545872651223,1.0071697258723133,73,909.2560896094332,
n-gram,conversational,sharegpt,8K,50,873.8406606116212,0.9589885319069924,73,909.2560896094332,
n-gram,conversational,sharegpt,8K,73,909.2560896094332,,73,909.2560896094332,
n-gram,code,swebench,8K,1,132.2923940319105,1.3149306686302173,73,909.3386888767559,
n-gram,code,swebench,8K,5,392.1297549376467,1.0774445400025128,73,909.3386888767559,
n-gram,code,swebench,8K,25,792.8836971095849,1.0126681589828759,73,909.3386888767559,
n-gram,code,swebench,8K,50,877.2541810126653,0.9634830295331736,73,909.3386888767559,
n-gram,code,swebench,8K,73,909.3386888767559,,73,909.3386888767559,
n-gram,summarization-short,cnn_short,8K,1,103.26663180187384,1.246422707078235,73,305.0527163593383,
n-gram,summarization-short,cnn_short,8K,5,216.31364145413193,1.0672391585602334,73,305.0527163593383,
n-gram,summarization-short,cnn_short,8K,25,293.08504226163177,1.006789035909182,73,305.0527163593383,
n-gram,summarization-short,cnn_short,8K,50,302.38947764927764,0.9839939491205183,73,305.0527163593383,
n-gram,summarization-short,cnn_short,8K,73,305.0527163593383,,73,305.0527163593383,
n-gram,summarization-long,cnn_long,8K,1,131.12070305167205,1.4160339570267615,73,474.5726188026211,
n-gram,summarization-long,cnn_long,8K,5,286.9392112606368,1.0619240243628734,73,474.5726188026211,
n-gram,summarization-long,cnn_long,8K,25,442.06488173155026,0.9815928919385349,73,474.5726188026211,
n-gram,summarization-long,cnn_long,8K,50,470.0343840331132,0.9540574110886061,73,474.5726188026211,
n-gram,summarization-long,cnn_long,8K,73,474.5726188026211,,73,474.5726188026211,
n-gram,structured-JSON,edgar_json,8K,1,142.4935582075044,1.3961842730914769,73,1032.8163524198787,
n-gram,structured-JSON,edgar_json,8K,5,430.15716097044765,1.1208051803752972,73,1032.8163524198787,
n-gram,structured-JSON,edgar_json,8K,25,898.6181461701301,1.0192042668579926,73,1032.8163524198787,
n-gram,structured-JSON,edgar_json,8K,50,996.0071895010719,0.9528649010848111,73,1032.8163524198787,
n-gram,structured-JSON,edgar_json,8K,73,1032.8163524198787,,73,1032.8163524198787,
EAGLE3,conversational,sharegpt,8K,1,93.29397725143981,0.9271118482503454,70,578.2533110178623,
EAGLE3,conversational,sharegpt,8K,5,286.52254164170927,0.7865989081141497,70,578.2533110178623,
EAGLE3,conversational,sharegpt,8K,25,564.8479189961045,0.722084675180564,70,578.2533110178623,
EAGLE3,conversational,sharegpt,8K,50,572.9665826945159,0.628796995536228,70,578.2533110178623,
EAGLE3,conversational,sharegpt,8K,70,578.2533110178623,,70,578.2533110178623,
