arm,domain,regime,concurrency,output_tok_s,cost_per_1M_output_tokens_USD,h200_usd_per_hr
separate-draft,code,8K,5,423.63835315356926,2.9309590536921037,4.47
separate-draft,code,8K,25,680.0665261892389,1.8258017691656743,4.47
separate-draft,code,8K,43,711.4528428345716,1.7452550498211747,4.47
separate-draft,summarization-short,8K,1,98.24573261079344,12.638377603489467,4.47
separate-draft,summarization-short,8K,5,213.40476981177918,5.818364171343517,4.47
separate-draft,summarization-short,8K,25,258.4856557075789,4.803619230892046,4.47
separate-draft,summarization-short,8K,43,260.9200099859039,4.75880200500432,4.47
separate-draft,summarization-long,8K,1,110.4449757178062,11.242400648800922,4.47
separate-draft,summarization-long,8K,5,266.59128173351706,4.65756666381847,4.47
separate-draft,summarization-long,8K,25,364.24720805137264,3.4088570597678944,4.47
separate-draft,summarization-long,8K,43,372.2758307297973,3.3353405302529153,4.47
separate-draft,structured-JSON,8K,1,140.5803684651331,8.832432865436871,4.47
separate-draft,structured-JSON,8K,5,424.1753073065271,2.927248817360756,4.47
separate-draft,structured-JSON,8K,25,757.0084612683719,1.6402282539699058,4.47
separate-draft,structured-JSON,8K,43,810.9145782671017,1.5311929270282307,4.47
baseline,conversational,32K,1,100.7073496451336,12.329454315320337,4.47
baseline,conversational,32K,5,364.22846652098775,3.409032463955199,4.47
baseline,conversational,32K,18,660.095862465186,1.881039917489489,4.47
baseline,code,32K,1,100.74678585237226,12.324628087749852,4.47
baseline,code,32K,5,364.25405150066183,3.408793015619788,4.47
baseline,code,32K,18,660.1179832699345,1.8809768831262488,4.47
baseline,summarization-short,32K,1,83.07878949153405,14.945651883784317,4.47
baseline,summarization-short,32K,5,203.3963962519204,6.104664042959627,4.47
baseline,summarization-short,32K,18,273.1593831710973,4.545575745018178,4.47
baseline,summarization-long,32K,1,90.98438809920013,13.647029920263677,4.47
baseline,summarization-long,32K,5,264.03960173377874,4.702577410787767,4.47
baseline,summarization-long,32K,18,391.5867961081609,3.170859382918784,4.47
baseline,structured-JSON,32K,1,102.23084518091667,12.145714578308574,4.47
baseline,structured-JSON,32K,5,384.4027387863438,3.23011919890821,4.47
baseline,structured-JSON,32K,18,728.6310952056789,1.704108807374145,4.47
n-gram,conversational,32K,1,121.73784831888709,10.199512179763305,4.47
n-gram,conversational,32K,5,364.5475844898009,3.4060482622712462,4.47
